X,Y,OBJECTID,INTR_ID,GIS_XCOORD,GIS_YCOORD,COMPKEY,COMPTYPE,UNITID,SUBAREA,UNITDESC,ARTERIALCLASSCD,SIGNAL_MAINT_DIST,SIGNAL_TYPE,SHAPE_LNG,SHAPE_LAT
1270709.148722007870674,194387.95532301068306,1,18213,1270709.14872,194387.95532,340313,13,78852,GRDWM,4TH AVE S AND S HENDERSON N ST,0, ,NONE,-122.329731968878,47.5230508381745
1282581.593406155705452,234414.695075988769531,2,10302,1282581.59341,234414.69508,157936,13,32854,E,WOODROW PL E AND E GARFIELD ST,0, ,NONE,-122.284744717057,47.6333869919404
1261647.537192717194557,256226.497210323810577,3,4716,1261647.53719,256226.49721,37264,13,231740,BLRD,12TH AVE NW AND NW 87TH ST,0, ,NONE,-122.371401133721,47.6920578247574
1281380.582972928881645,228692.211870133876801,4,11483,1281380.58297,228692.21187,30231,13,42513,CNTRL,34TH AVE AND E HOWELL ST,3, ,NONE,-122.289175918667,47.6176394787069
1274017.164341390132904,249395.188403338193893,5,6406,1274017.16434,249395.1884,25752,13,14252,NE,NE 63RD ST AND NE RAVENNA EB BV,1, ,NONE,-122.320648458474,47.6740000519789
1287242.236994937062263,202871.123331695795059,6,16530,1287242.23699,202871.12333,33729,13,67744,SE,WILSON AVE S AND S UPLAND RD,2, ,NONE,-122.263467730487,47.5471649434807
1264241.256491377949715,253504.867255538702011,7,5330,1264241.25649,253504.86726,24066,13,3124,NW,3RD AVE NW AND NW 77TH ST,3, ,NONE,-122.360652284094,47.6847396120201
1277934.404153406620026,257254.454715386033058,8,4483,1277934.40415,257254.45472,37743,13,234718,NE,RAVENNA AVE NE AND NE 92ND ST,1, ,NONE,-122.30536138036,47.6957485843215
1281932.699197500944138,222116.097175404429436,9,12577,1281932.6992,222116.09718,35518,13,146652,CNTRL,LAKESIDE UPPER AVE S AND S LESCHI PL,0, ,NONE,-122.286434259576,47.5996429531023
1282909.084222495555878,199261.560447990894318,10,17255,1282909.08422,199261.56045,34465,13,73318,SE,42ND AVE S AND S OTHELLO ST,2, ,NONE,-122.280735287273,47.5370490052216
1279677.895995184779167,229184.136606633663177,11,11382,1279677.896,229184.13661,29288,13,37357,CNTRL,M L KING JR WAY AND E DENNY WAY,3, ,NONE,-122.296116334582,47.6188993314954
1269555.014704823493958,246211.303600072860718,12,7287,1269555.0147,246211.3036,25529,13,13331,LKUN,WOODLAWN AVE N AND N 50TH E ST,1, ,NONE,-122.338504194935,47.6650353046187
1256550.326051503419876,218397.216915592551231,13,13142,1256550.32605,218397.21692,31112,13,48512,SW,45TH AVE SW AND SW MASSACHUSETTS ST,0, ,NONE,-122.388988942195,47.5880894250074
1269427.810352697968483,270094.671816527843475,14,2569,1269427.81035,270094.67182,35732,13,219145,NW,INTERLAKE AVE N AND N 140TH E ST,0, ,NONE,-122.340919003553,47.730491739132
1281751.567165315151215,191962.907000526785851,15,18655,1281751.56717,191962.907,35386,13,80737,GRDWM,38TH AVE S AND S ROXBURY ST,0, ,NONE,-122.284863208283,47.5169835904682
1258084.54147706925869,193925.285754531621933,16,18291,1258084.54148,193925.28575,34745,13,75336,SW,38TH AVE SW AND SW BARTON W ST,2, ,NONE,-122.380779125037,47.5210982609993
1267941.857839167118073,242000.124587759375572,17,8569,1267941.85784,242000.12459,26867,13,22312,LKUN,BRIDGE WAY N AND WOODLAND PK S AVE N,2, ,NONE,-122.344714016137,47.6534059644849
1278731.593786224722862,217010.192786172032356,18,13386,1278731.59379,217010.19279,31436,13,52144,SE,26TH AVE S AND S PLUM ST,0, ,NONE,-122.299012562699,47.5854812686565
1277678.226233139634132,222936.183704242110252,19,12449,1277678.22623,222936.1837,30732,13,45516,CNTRL,22ND AVE AND E YESLER WAY,2, ,NONE,-122.303738936721,47.6016692758087
1279904.747579425573349,262411.024832665920258,20,3522,1279904.74758,262411.02483,36663,13,227318,N,28TH AVE NE AND NE 113TH ST,0, ,NONE,-122.297760256297,47.7099856985272
1259180.277798190712929,251861.526453852653503,21,5737,1259180.2778,251861.52645,23923,13,2329,BLRD,19TH AVE NW AND NW CANOE PL,0, ,NONE,-122.381060812416,47.6799581367274
1288086.518851801753044,248700.779186621308327,22,6604,1288086.51885,248700.77919,26287,13,17522,NE,60TH AVE NE AND NE 61ST ST,0, ,NONE,-122.263498159136,47.6728277633585
1259122.116646140813828,259343.125949516892433,23,4041,1259122.11665,259343.12595,36919,13,230151,BLRD,NW 98TH ST AND DEAD END 1,0, ,NONE,-122.381907982694,47.7004614512761
